"youtuber","category","category_top","country","continent","highest_monthly_earnings","created_year","subscribers","subscriber_tier","video_views"
"Collins Key","Entertainment","Entertainment","United States","North America","43400.00",2011,23900000,"10M-100M","6582932625"
"Troom Troom","Howto & Style","Other","United States","North America","392200.00",2015,23800000,"10M-100M","10414479943"
"Venus Entertainment","Entertainment","Entertainment","Nothing","Other","127.00",2016,23800000,"10M-100M","5663125358"
"Enrique Iglesias","Music","Music","United States","North America","491700.00",2007,23800000,"10M-100M","17688774915"
"Mister Max","People & Blogs","People & Blogs","United Kingdom","Europe","131300.00",2014,23700000,"10M-100M","15510153803"
"That Little Puff","Pets & Animals","Other","United States","North America","3000000.00",2020,23700000,"10M-100M","20289689389"
"Ninja","Gaming","Gaming","United States","North America","33500.00",2011,23700000,"10M-100M","2543809954"
"FaZe Rug","Gaming","Gaming","Canada","North America","0.00",2012,23700000,"10M-100M","7451792132"
"Juan De Dios Pantoja","Entertainment","Entertainment","Mexico","North America","187400.00",2014,23600000,"10M-100M","2135644776"
"Peppa Pig Espa���������","Film & Animation","Film & Animation","United Kingdom","Europe","214400.00",2014,23600000,"10M-100M","7920637200"
"Maya and Mary","Entertainment","Entertainment","United States","North America","178200.00",2013,23600000,"10M-100M","6766461070"
"Logan Paul","Entertainment","Entertainment","United States","North America","43200.00",2015,23600000,"10M-100M","5994002464"
"NickyJamTV","Music","Music","Nothing","Other","311700.00",2012,23600000,"10M-100M","15901824841"
"Jelly","Gaming","Gaming","United Kingdom","Europe","166700.00",2014,23500000,"10M-100M","14777034543"
"Miss Katy","People & Blogs","People & Blogs","United Kingdom","Europe","238500.00",2014,23500000,"10M-100M","14696994366"
"Valentina Pontes ofc","Film & Animation","Film & Animation","Brazil","South America","113100.00",2014,23400000,"10M-100M","7926899136"
"Tilak","Film & Animation","Film & Animation","India","Asia","1500000.00",2020,23400000,"10M-100M","9465863821"
"Sesame Street","Entertainment","Entertainment","United States","North America","496700.00",2006,23300000,"10M-100M","22471357411"
"Lady Gaga","People & Blogs","People & Blogs","United States","North America","572700.00",2008,23200000,"10M-100M","15751661213"
"Happy Lives","Science & Technology","Other","United States","North America","0.00",2016,23200000,"10M-100M","2634"
"Akshay Nagwadiya","Entertainment","Entertainment","Nothing","Other","1300000.00",2017,23200000,"10M-100M","7966720147"
"TED","People & Blogs","People & Blogs","United States","North America","53000.00",2006,23100000,"10M-100M","2551113422"
"Wave Music Bhojpuri","Music","Music","India","Asia","210700.00",2014,23100000,"10M-100M","12889240875"
"GMM GRAMMY OFFICIAL","Music","Music","Thailand","Asia","520900.00",2010,23100000,"10M-100M","25579831081"
"unknown boy varun","Music","Music","India","Asia","1200000.00",2016,23100000,"10M-100M","9299371231"
"Kids TV - Nursery Rhymes And Baby Songs","Shows","Other","United States","North America","513800.00",2013,23100000,"10M-100M","13151870846"
"White Hill Music","Entertainment","Entertainment","India","Asia","372700.00",2014,23000000,"10M-100M","10939966484"
"DrossRotzank","Entertainment","Entertainment","Argentina","South America","142200.00",2006,23000000,"10M-100M","6041264489"
"Technical Guruji","Science & Technology","Other","India","Asia","89000.00",2015,23000000,"10M-100M","3378047383"
"Tsuriki Show","Entertainment","Entertainment","Germany","Europe","3000000.00",2019,23000000,"10M-100M","31494513067"
"BabyBus - Canciones Infantiles & Videos para Ni��","Education","Education","Mexico","North America","547300.00",2018,22900000,"10M-100M","13206471140"
"toyorbabytv","Music","Music","Jordan","Other","676200.00",2012,22900000,"10M-100M","16298342829"
"Alan Becker","Film & Animation","Film & Animation","United States","North America","0.00",2006,22900000,"10M-100M","5380073627"
"Ultra Movie Parlour","Movies","Other","India","Asia","0.00",2011,22900000,"10M-100M","5320485069"
"KL BRO Biju Rithvik","Entertainment","Entertainment","Nothing","Other","8100000.00",2020,22800000,"10M-100M","17988347989"
"Like Nastya PRT","Entertainment","Entertainment","Nothing","Other","386500.00",2019,22700000,"10M-100M","11568118121"
"Vania Mania Kids","People & Blogs","People & Blogs","United States","North America","620900.00",2015,22700000,"10M-100M","10115316784"
"Sia","Music","Music","United States","North America","381000.00",2007,22600000,"10M-100M","13405849040"
"Sun TV","People & Blogs","People & Blogs","India","Asia","3900000.00",2016,22600000,"10M-100M","20847038152"
"Heroindori","Comedy","Comedy","India","Asia","1600000.00",2020,22600000,"10M-100M","9223534599"
"The Chainsmokers","Music","Music","United States","North America","326600.00",2012,22600000,"10M-100M","14231943358"
"mmoshaya","People & Blogs","People & Blogs","Saudi Arabia","Other","295300.00",2010,22600000,"10M-100M","17507060680"
"LeoNata Family","People & Blogs","People & Blogs","United States","North America","4700000.00",2021,22600000,"10M-100M","27084848152"
"Goldmines Cineplex","Film & Animation","Film & Animation","India","Asia","195000.00",2015,22500000,"10M-100M","2431154438"
"SSundee","Gaming","Gaming","United States","North America","700400.00",2009,22500000,"10M-100M","13835173331"
"Vlad and Niki Arabic","nan","Other","United States","North America","260300.00",2018,22500000,"10M-100M","10613701948"
"Paulo Londra","Music","Music","Argentina","South America","289000.00",2016,22400000,"10M-100M","8040036209"
"FGTeeV","Gaming","Gaming","United States","North America","528400.00",2013,22300000,"10M-100M","24059336857"
"Smile Family","People & Blogs","People & Blogs","France","Europe","3.00",2019,22300000,"10M-100M","8663830163"
"Kinder Spielzeug Kanal (Kidibli)","Entertainment","Entertainment","United States","North America","557300.00",2015,22200000,"10M-100M","11136266461"
"Charlie Puth","Music","Music","United States","North America","446000.00",2009,22000000,"10M-100M","9924807127"
"Sagawa /���","Entertainment","Entertainment","Japan","Asia","2800000.00",2021,22000000,"10M-100M","18347969186"
"Vlad and Niki ESP","nan","Other","United States","North America","735500.00",2018,22000000,"10M-100M","8594440895"
"Topper Guild","Comedy","Comedy","United States","North America","2700000.00",2014,21900000,"10M-100M","15552070846"
"Disney Latinoam��","Entertainment","Entertainment","Mexico","North America","19.00",2008,21900000,"10M-100M","20657571751"
"Ben Azelart","Film & Animation","Film & Animation","United States","North America","739800.00",2014,21900000,"10M-100M","4454917643"
"Zach Choi ASMR","People & Blogs","People & Blogs","United States","North America","936900.00",2014,21900000,"10M-100M","5918314128"
"Dua Lipa","Music","Music","United Kingdom","Europe","512200.00",2011,21800000,"10M-100M","11288359365"
"Stokes Twins","People & Blogs","People & Blogs","United States","North America","791800.00",2008,21800000,"10M-100M","4469711607"
"National Geographic","Science & Technology","Other","United States","North America","183200.00",2006,21800000,"10M-100M","5614621131"
"OneDirectionVEVO","Music","Music","United Kingdom","Europe","204500.00",2010,21800000,"10M-100M","12140232004"
"Rotana","Music","Music","Nothing","Other","42.00",2011,21800000,"10M-100M","19329351143"
"Netflix India","People & Blogs","People & Blogs","Nothing","Other","0.00",2017,21800000,"10M-100M","7780934187"
"Sourav Joshi Vlogs","People & Blogs","People & Blogs","Nothing","Other","1100000.00",2019,21700000,"10M-100M","9392093496"
"ZAMZAM ELECTRONICS TRADING","nan","Other","United Arab Emirates","Other","6400000.00",2020,21700000,"10M-100M","8507818877"
"Village Cooking Channel","Howto & Style","Other","India","Asia","778400.00",2018,21600000,"10M-100M","5863377051"
"DUDU e CAROL","Autos & Vehicles","Other","Brazil","South America","772700.00",2013,21600000,"10M-100M","9597894786"
"Eva Bravo Play","Entertainment","Entertainment","United States","North America","255700.00",2019,21600000,"10M-100M","9346383505"
"SMOL","People & Blogs","People & Blogs","Nothing","Other","0.01",2006,21500000,"10M-100M","22065582014"
"Tekashi 6ix9ine","People & Blogs","People & Blogs","United States","North America","454200.00",2018,21500000,"10M-100M","5890180734"
"invictor","Gaming","Gaming","Chile","South America","0.20",2016,21500000,"10M-100M","8409641722"
"Tlnovelas","News & Politics","Other","Mexico","North America","62.00",2014,21500000,"10M-100M","15013096899"
"Sidhu Moose Wala","Music","Music","India","Asia","642800.00",2017,21400000,"10M-100M","6264261757"
"YOLO","Comedy","Comedy","Germany","Europe","0.00",2013,21400000,"10M-100M","1573058816"
"Dangal TV Channel","Entertainment","Entertainment","India","Asia","2200000.00",2017,21300000,"10M-100M","12895427184"
"Infinite","Entertainment","Entertainment","United States","North America","273400.00",2014,21300000,"10M-100M","5141834668"
"Ishaan Ali 11","People & Blogs","People & Blogs","India","Asia","2900000.00",2016,21300000,"10M-100M","12761253839"
"Becky G","Music","Music","United States","North America","412700.00",2011,21300000,"10M-100M","10644857969"
"The Royalty Family","People & Blogs","People & Blogs","United States","North America","640900.00",2017,21300000,"10M-100M","6269945014"
"Azhan5star","Entertainment","Entertainment","India","Asia","945200.00",2021,21300000,"10M-100M","10047736580"
"GMA Public  Affairs","Entertainment","Entertainment","Philippines","Asia","569300.00",2009,21200000,"10M-100M","11364908616"
"Khan GS Research Centre","Education","Education","Nothing","Other","0.00",2017,21200000,"10M-100M","2073073070"
"Tasty","Howto & Style","Other","United States","North America","98800.00",2016,21100000,"10M-100M","5783557209"
"Baim Paula","People & Blogs","People & Blogs","Indonesia","Asia","107900.00",2016,21100000,"10M-100M","4526271677"
"Rafa & Luiz","Entertainment","Entertainment","Brazil","South America","473600.00",2015,21000000,"10M-100M","7762905663"
"Lyrical Lemonade","Entertainment","Entertainment","United States","North America","320200.00",2013,21000000,"10M-100M","10631638628"
"Vlad and Niki IDN","nan","Other","United States","North America","533400.00",2018,21000000,"10M-100M","9789121606"
"nigahiga","Entertainment","Entertainment","United States","North America","9900.00",2006,21000000,"10M-100M","4380564906"
"Fatos Desconhecidos","Entertainment","Entertainment","Brazil","South America","209300.00",2013,20900000,"10M-100M","3828000587"
"Brave Wilderness","Pets & Animals","Other","United States","North America","0.00",2014,20900000,"10M-100M","4927879069"
"LIV Crime","People & Blogs","People & Blogs","United States","North America","1500000.00",2020,20900000,"10M-100M","11058049885"
"Minecraft - Topic","nan","Other","Nothing","Other","0.00",2013,20900000,"10M-100M","0"
"Romeo Santos","Music","Music","United States","North America","0.40",2006,20900000,"10M-100M","17324976752"
"Dr. Vivek Bindra: Motivational Speaker","Education","Education","India","Asia","114400.00",2013,20900000,"10M-100M","1693149479"
"Kurzgesagt ������","Education","Education","Germany","Europe","117100.00",2013,20800000,"10M-100M","2378448129"
"Canal Canalha","Comedy","Comedy","Brazil","South America","95600.00",2011,20800000,"10M-100M","1870608170"
"5-Minute Crafts DIY","Howto & Style","Other","United States","North America","80000.00",2018,20700000,"10M-100M","5091618606"
"tuzelity SHUFFLE","People & Blogs","People & Blogs","Russia","Europe","2200000.00",2015,20700000,"10M-100M","8658941531"
"NBA","Sports","Other","United States","North America","292100.00",2005,20700000,"10M-100M","12624879732"
"Zach King","Entertainment","Entertainment","Nothing","Other","0.50",2013,20700000,"10M-100M","5410164682"
"Yoeslan","Entertainment","Entertainment","United States","North America","3500000.00",2020,20700000,"10M-100M","17963202261"
"Avicii","Music","Music","Sweden","Europe","324900.00",2009,20600000,"10M-100M","10292874715"
"Deddy Corbuzier","Entertainment","Entertainment","Indonesia","Asia","0.34",2007,20600000,"10M-100M","4956090094"
"Bizarrap","Comedy","Comedy","Argentina","South America","772700.00",2017,20600000,"10M-100M","7657171980"
"Mnet K-POP","Entertainment","Entertainment","South Korea","Asia","634200.00",2006,20500000,"10M-100M","15038593883"
"Ninja Kidz TV","Entertainment","Entertainment","United States","North America","780800.00",2017,20500000,"10M-100M","11009148579"
"LazarBeam","Gaming","Gaming","Australia","Oceania","104300.00",2015,20500000,"10M-100M","8768697257"
"Totoy kids - Portugu�","Film & Animation","Film & Animation","Brazil","South America","158000.00",2014,20400000,"10M-100M","1796227417"
"Emiway Bantai","Music","Music","India","Asia","165200.00",2013,20400000,"10M-100M","3579555124"
"Vijay Television","Entertainment","Entertainment","India","Asia","3600000.00",2007,20400000,"10M-100M","29406206620"
"SlivkiShow","Entertainment","Entertainment","Ukraine","Other","116000.00",2012,20400000,"10M-100M","4707412332"
"Linkin Park","Music","Music","Afghanistan","Other","0.00",2006,20400000,"10M-100M","13397000296"
"Jake Paul","People & Blogs","People & Blogs","United States","North America","58600.00",2013,20400000,"10M-100M","7311322368"
"BabyBus - Cerita & Lagu Anak-anak","Education","Education","Indonesia","Asia","451100.00",2019,20300000,"10M-100M","11819051552"
"Got Talent Global","Entertainment","Entertainment","United Kingdom","Europe","345800.00",2013,20300000,"10M-100M","2441288701"
"��������������� - Genevieve's Playhouse","Education","Education","Nothing","Other","287100.00",2018,20300000,"10M-100M","11022391339"
"dednahype","Comedy","Comedy","Latvia","Other","5000000.00",2020,20200000,"10M-100M","20919403720"
"Kiddiestv Hindi - Nursery Rhymes & Kids Songs","Education","Education","India","Asia","453700.00",2017,20200000,"10M-100M","7274150246"
"Family GamesTV","Entertainment","Entertainment","Nothing","Other","0.00",2012,20200000,"10M-100M","7066711323"
"Noor Stars","Comedy","Comedy","United Arab Emirates","Other","62200.00",2014,20200000,"10M-100M","2764127969"
"Ami Rodriguez","Entertainment","Entertainment","Colombia","South America","1100000.00",2009,20200000,"10M-100M","2951914200"
"MiawAug","Gaming","Gaming","Indonesia","Asia","258000.00",2014,20200000,"10M-100M","6098644584"
"Marta and Rustam","Comedy","Comedy","United States","North America","1800000.00",2021,20200000,"10M-100M","19694265358"
"AuthenticGames","Gaming","Gaming","Brazil","South America","21700.00",2011,20100000,"10M-100M","8920141342"
"Pencilmation","Film & Animation","Film & Animation","United States","North America","59400.00",2007,20100000,"10M-100M","11317309935"
"Robin Hood Gamer","Entertainment","Entertainment","Nothing","Other","0.00",2013,20100000,"10M-100M","10366850490"
"7clouds","Music","Music","United States","North America","1100000.00",2013,20100000,"10M-100M","14816075927"
"5-Minute Crafts PLAY","Howto & Style","Other","United States","North America","423100.00",2017,20100000,"10M-100M","6119294270"
"Marvel Entertainment","Entertainment","Entertainment","United States","North America","0.25",2011,20100000,"10M-100M","5634695322"
"BuzzFeedVideo","People & Blogs","People & Blogs","United States","North America","36400.00",2011,20100000,"10M-100M","17913237851"
"Skrillex","Music","Music","United States","North America","101100.00",2010,20100000,"10M-100M","6618524158"
"CookieSwirlC","Entertainment","Entertainment","United States","North America","886800.00",2013,20100000,"10M-100M","23353115850"
"REACT","Entertainment","Entertainment","United States","North America","92800.00",2007,20000000,"10M-100M","13154314376"
"Vevo","Music","Music","United States","North America","5300.00",2006,20000000,"10M-100M","559765455"
"Gordon Ramsay","Entertainment","Entertainment","United Kingdom","Europe","156900.00",2006,20000000,"10M-100M","3875172235"
"Pentatonix","Music","Music","Canada","North America","0.00",2006,20000000,"10M-100M","6033295543"
"Green Gold TV - Official Channel","Film & Animation","Film & Animation","India","Asia","0.00",2011,20000000,"10M-100M","9715291883"
"Gusttavo Lima Oficial","Music","Music","Brazil","South America","859200.00",2010,19900000,"10M-100M","13917423958"
"SOMOY TV","News & Politics","Other","United States","North America","65.00",2013,19800000,"10M-100M","12293479945"
"Crafty Panda","People & Blogs","People & Blogs","United States","North America","24500.00",2017,19800000,"10M-100M","5759442450"
"HaerteTest","Science & Technology","Other","Germany","Europe","22600.00",2011,19800000,"10M-100M","3234880084"
"SCTV","Entertainment","Entertainment","United Kingdom","Europe","1.00",2006,19700000,"10M-100M","9808676159"
"JennaMarbles","Comedy","Comedy","United States","North America","15100.00",2010,19700000,"10M-100M","1803249241"
"Britain's Got Talent","Entertainment","Entertainment","United Kingdom","Europe","216800.00",2008,19700000,"10M-100M","11323617496"
"Official Pink Panther","Film & Animation","Film & Animation","United States","North America","0.00",2011,19700000,"10M-100M","10955619815"
"Troom Troom Es","People & Blogs","People & Blogs","Nothing","Other","117500.00",2016,19700000,"10M-100M","7452667615"
"Clash of Clans","Gaming","Gaming","United States","North America","89200.00",2013,19600000,"10M-100M","3961318438"
"AS Gaming","Gaming","Gaming","United States","North America","0.09",2009,19600000,"10M-100M","2851024430"
"Sony AATH","Shows","Other","United States","North America","1100000.00",2013,19600000,"10M-100M","13930021471"
"tabii Urdu","Entertainment","Entertainment","Turkey","Other","443200.00",2020,19600000,"10M-100M","8779729549"
"DaFuq!?Boom!","Film & Animation","Film & Animation","United States","North America","9200000.00",2016,19600000,"10M-100M","7906181776"
"RKD Studios","Entertainment","Entertainment","India","Asia","0.00",2014,19500000,"10M-100M","5234251168"
"FIFA","Sports","Other","Switzerland","Other","235500.00",2006,19400000,"10M-100M","5529131886"
"etvteluguindia","Entertainment","Entertainment","India","Asia","1100000.00",2010,19400000,"10M-100M","23038014291"
"JukiLop","People & Blogs","People & Blogs","Mexico","North America","9500.00",2017,19400000,"10M-100M","1577859332"
"DLS News","News & Politics","Other","India","Asia","128400.00",2017,19400000,"10M-100M","2255542592"
"Unbox Therapy","Science & Technology","Other","Nothing","Other","66900.00",2010,19300000,"10M-100M","4508184467"
"Vsauce","Science & Technology","Other","Nothing","Other","278500.00",2007,19300000,"10M-100M","2897907132"
"Manoj  parihar","nan","Other","India","Asia","148700.00",2021,19300000,"10M-100M","264228052"
"Sonotek","Entertainment","Entertainment","India","Asia","114700.00",2011,19200000,"10M-100M","7590582024"
"shane","People & Blogs","People & Blogs","United States","North America","10900.00",2005,19200000,"10M-100M","4329121104"
"Goldmines Great Indian Comedy","Film & Animation","Film & Animation","Nothing","Other","263700.00",2016,19100000,"10M-100M","5194942269"
"Jimmy Kimmel Live","Entertainment","Entertainment","United States","North America","69000.00",2006,19100000,"10M-100M","13124645973"
"TheOdd1sOut","Comedy","Comedy","United States","North America","123900.00",2014,19100000,"10M-100M","4566120190"
"Lil Nas X","Music","Music","Nothing","Other","184800.00",2018,19100000,"10M-100M","6339584661"
"Calvin Harris","Music","Music","United Kingdom","Europe","409600.00",2007,19000000,"10M-100M","16014044618"
"�������������� ����","Education","Education","United States","North America","86300.00",2018,19000000,"10M-100M","4924054368"
"SUPER SLICK SLIME SAM","Howto & Style","Other","Mexico","North America","493400.00",2018,19000000,"10M-100M","7229175322"
"Wow Kidz Action","Film & Animation","Film & Animation","India","Asia","422800.00",2017,19000000,"10M-100M","8281724393"
"Turma da M��","Film & Animation","Film & Animation","Brazil","South America","307600.00",2012,19000000,"10M-100M","13824277846"
"KBS WORLD TV","Entertainment","Entertainment","South Korea","Asia","432000.00",2007,19000000,"10M-100M","15126092508"
"HiMan","People & Blogs","People & Blogs","Russia","Europe","98300.00",2014,18900000,"10M-100M","2855519150"
"Little Angel Espa���������","Education","Education","Mexico","North America","561600.00",2018,18900000,"10M-100M","9813245108"
"Masha e o Urso","Shows","Other","Nothing","Other","0.00",2014,18900000,"10M-100M","8301731337"
"Triggered Insaan","Comedy","Comedy","India","Asia","436100.00",2014,18800000,"10M-100M","3276891538"
"����������������������","Entertainment","Entertainment","Ukraine","Other","272000.00",2014,18800000,"10M-100M","9594188708"
"Farruko","Music","Music","United States","North America","391000.00",2009,18800000,"10M-100M","9573641299"
"Busy Fun Ltd","nan","Other","Nothing","Other","0.00",2021,18800000,"10M-100M","7762077012"
"Cardi B","People & Blogs","People & Blogs","Nothing","Other","0.03",2017,18800000,"10M-100M","7634430188"
"Sidemen","Entertainment","Entertainment","United Kingdom","Europe","312600.00",2015,18800000,"10M-100M","5257834105"
"TED-Ed","Education","Education","United States","North America","119500.00",2011,18800000,"10M-100M","3654621568"
"Ali-A","Gaming","Gaming","Nothing","Other","0.00",2016,18700000,"10M-100M","6148303268"
"CKN","Entertainment","Entertainment","Spain","Europe","0.41",2005,18700000,"10M-100M","12295637162"
"Shemaroo Comedy","Entertainment","Entertainment","India","Asia","409700.00",2007,18600000,"10M-100M","6047584292"
"�������� ���������� ���������� | Arab Games Network","Gaming","Gaming","Saudi Arabia","Other","172000.00",2013,18600000,"10M-100M","8761255550"
"GRAMMY GOLD OFFICIAL","Music","Music","Thailand","Asia","674400.00",2014,18600000,"10M-100M","20196704276"
"Smile Family Spanish","nan","Other","United States","North America","173600.00",2019,18600000,"10M-100M","7008250496"
"Willie Salim","People & Blogs","People & Blogs","Indonesia","Asia","789500.00",2014,18500000,"10M-100M","4051072188"
"Marmok","Gaming","Gaming","Russia","Europe","153100.00",2008,18500000,"10M-100M","3457618361"
"Dan-Sa / Daniel Saboya","Music","Music","Brazil","South America","0.00",2007,18500000,"10M-100M","2908120896"
"Like Nastya Vlog","People & Blogs","People & Blogs","Russia","Europe","195800.00",2016,18500000,"10M-100M","8147575884"
"The ACE Family","People & Blogs","People & Blogs","Nothing","Other","11300.00",2016,18500000,"10M-100M","4558380251"
"shakiraVEVO","Music","Music","United States","North America","1100000.00",2009,18400000,"10M-100M","25367126292"
"Dhar Mann","People & Blogs","People & Blogs","Nothing","Other","0.00",2007,18400000,"10M-100M","11280732382"
"RsiamMusic : ��������","Music","Music","Thailand","Asia","216500.00",2011,18400000,"10M-100M","11544297793"
"TheWillyrex","Comedy","Comedy","Spain","Europe","44000.00",2011,18400000,"10M-100M","7038827526"
"PDK Films","Entertainment","Entertainment","United States","North America","57700.00",2009,18400000,"10M-100M","4120324310"
"IShowSpeed","Gaming","Gaming","United States","North America","561000.00",2016,18300000,"10M-100M","1556003039"
"Naisa Alifia Yuriza (N.A.Y)","People & Blogs","People & Blogs","Indonesia","Asia","68300.00",2017,18300000,"10M-100M","1606834186"
"Miley Cyrus","Entertainment","Entertainment","United States","North America","511900.00",2009,18300000,"10M-100M","7760819588"
"INCR��","People & Blogs","People & Blogs","Brazil","South America","72200.00",2017,18200000,"10M-100M","3213324455"
"Bobby chourasiya","People & Blogs","People & Blogs","Nothing","Other","1900000.00",2019,18200000,"10M-100M","9937823152"
"Ajay Sharma","Entertainment","Entertainment","Nothing","Other","0.00",2009,18100000,"10M-100M","12249828886"
"Jake Fellman","Entertainment","Entertainment","United States","North America","2000000.00",2012,18100000,"10M-100M","13378360425"
"Blippi - Educational Videos for Kids","Education","Education","United States","North America","721600.00",2014,18100000,"10M-100M","14857290259"
"SQUEEZIE","Gaming","Gaming","France","Europe","192400.00",2011,18100000,"10M-100M","9983065083"
"GEN HALILINTAR","Entertainment","Entertainment","Indonesia","Asia","109200.00",2015,18100000,"10M-100M","3306242674"
"officialpsy","Music","Music","South Korea","Asia","260000.00",2010,18100000,"10M-100M","10703830496"
"Manual do Mundo","Howto & Style","Other","Brazil","South America","219100.00",2006,18000000,"10M-100M","3980991248"
"How Ridiculous","Sports","Other","Australia","Oceania","1600000.00",2009,18000000,"10M-100M","9601137077"
"And TV","Entertainment","Entertainment","United States","North America","0.02",2006,18000000,"10M-100M","15412333005"
"Sebasti���","News & Politics","Other","United States","North America","443100.00",2013,18000000,"10M-100M","10463166404"
"SonyMusicSouthVEVO","Music","Music","United States","North America","1000000.00",2014,18000000,"10M-100M","17921124985"
"TheGrefg","Gaming","Gaming","Spain","Europe","175300.00",2012,18000000,"10M-100M","6404852037"
"BeatboxJCOP","Film & Animation","Film & Animation","Nothing","Other","5500000.00",2011,18000000,"10M-100M","8716982055"
"KatieAngel","People & Blogs","People & Blogs","United States","North America","206700.00",2015,17900000,"10M-100M","3841205465"
"Zuni and Family","People & Blogs","People & Blogs","Nothing","Other","0.02",2020,17900000,"10M-100M","6746269458"
"MGC Playhouse","Shows","Other","United States","North America","410500.00",2009,17900000,"10M-100M","16174530046"
"Jason Derulo","Music","Music","United States","North America","1800000.00",2008,17900000,"10M-100M","9887116267"
"Like Nastya VNM","Entertainment","Entertainment","Vietnam","Asia","337900.00",2019,17900000,"10M-100M","9867515979"
"Demi Lovato","Music","Music","United States","North America","116700.00",2008,17900000,"10M-100M","6888074944"
"Lele Pons","Comedy","Comedy","United States","North America","74200.00",2015,17900000,"10M-100M","5244917119"
"RobleisIUTU","Entertainment","Entertainment","Argentina","South America","110200.00",2013,17900000,"10M-100M","5168721499"
"David Dobrik","People & Blogs","People & Blogs","United States","North America","34600.00",2014,17900000,"10M-100M","7176572299"
"MSA previously My Story Animated","Film & Animation","Film & Animation","United States","North America","83.00",2021,17800000,"10M-100M","8588704539"
"Priyal Kukreja","People & Blogs","People & Blogs","India","Asia","1700000.00",2021,17800000,"10M-100M","11057945183"
"El Payaso Plim Plim","Film & Animation","Film & Animation","Argentina","South America","2600000.00",2013,17700000,"10M-100M","17247584185"
"Les' Copaque Production","Film & Animation","Film & Animation","Malaysia","Other","470900.00",2009,17700000,"10M-100M","9059696049"
"News 24","News & Politics","Other","Ukraine","Other","1500000.00",2006,17700000,"10M-100M","8396875537"
"Porta dos Fundos","Entertainment","Entertainment","Brazil","South America","141300.00",2012,17700000,"10M-100M","7739048000"
"Lil Pump","Music","Music","Nothing","Other","0.00",2015,17700000,"10M-100M","4196061192"
"tanboy kun","People & Blogs","People & Blogs","Indonesia","Asia","192700.00",2016,17700000,"10M-100M","3647267655"
"jaanvi patel","People & Blogs","People & Blogs","India","Asia","1400000.00",2018,17700000,"10M-100M","7912733203"
"Jane ASMR ��","nan","Other","South Korea","Asia","0.00",2012,17700000,"10M-100M","7387621644"
"ArianaGrandeVevo","Music","Music","United States","North America","389700.00",2010,17700000,"10M-100M","20115544708"
"��������� KIMPRO","nan","Other","South Korea","Asia","13600000.00",2017,17700000,"10M-100M","19206701832"
"DeGoBooM","Gaming","Gaming","Chile","South America","400900.00",2014,17600000,"10M-100M","6306204566"
"zbing z.","Gaming","Gaming","Thailand","Asia","220500.00",2014,17600000,"10M-100M","9269174070"
"MissaSinfonia","Comedy","Comedy","Mexico","North America","109800.00",2011,17600000,"10M-100M","2274007523"
"��������� Liziqi","Howto & Style","Other","China","Asia","89400.00",2017,17600000,"10M-100M","2977741577"
"JFlaMusic","Music","Music","South Korea","Asia","44400.00",2011,17600000,"10M-100M","3802280098"
"IGN","Gaming","Gaming","United States","North America","393400.00",2006,17500000,"10M-100M","16107116549"
"News18 India","News & Politics","Other","India","Asia","1600000.00",2007,17500000,"10M-100M","7263619576"
"FactTechz","Entertainment","Entertainment","India","Asia","84200.00",2016,17500000,"10M-100M","2238134438"
"Fun For Kids TV - Hindi Rhymes","Entertainment","Entertainment","India","Asia","439400.00",2017,17500000,"10M-100M","7612385622"
"AMARINTV : ������������","Entertainment","Entertainment","Thailand","Asia","944000.00",2014,17400000,"10M-100M","13043561912"
"Aphmau","Gaming","Gaming","United States","North America","1800000.00",2012,17400000,"10M-100M","17763586483"
"Koray Zeynep","People & Blogs","People & Blogs","Nothing","Other","1700000.00",2016,17400000,"10M-100M","16560557488"
"���������������� - Al-Remas","Music","Music","Iraq","Other","452000.00",2013,17400000,"10M-100M","11144195464"
"Taarak Mehta Ka Ooltah Chashmah","Entertainment","Entertainment","India","Asia","1300000.00",2014,17300000,"10M-100M","11371738047"
"HowToBasic","Howto & Style","Other","Australia","Oceania","62100.00",2011,17300000,"10M-100M","3684816159"
"Apple","Science & Technology","Other","United States","North America","185900.00",2005,17300000,"10M-100M","1026425106"
"Stubborn Facts","Film & Animation","Film & Animation","India","Asia","3400.00",2016,17300000,"10M-100M","902225615"
"Marques Brownlee","Science & Technology","Other","United States","North America","209300.00",2008,17200000,"10M-100M","3606912471"
"PopularMMOs","Gaming","Gaming","Nothing","Other","61200.00",2012,17200000,"10M-100M","14573155899"
"El Reino a Jugar","Education","Education","Argentina","South America","334800.00",2015,17200000,"10M-100M","11445492404"
"Jason Vlogs","Education","Education","Australia","Oceania","0.10",2014,17200000,"10M-100M","8903647480"
"Anitta","Music","Music","Brazil","South America","290700.00",2011,17200000,"10M-100M","7337212581"
"Willyrex","Gaming","Gaming","Spain","Europe","61600.00",2009,17200000,"10M-100M","5024088947"
"Liza Koshy","Comedy","Comedy","United States","North America","7000.00",2013,17100000,"10M-100M","2173106162"
"TRANS TV Official","Entertainment","Entertainment","Indonesia","Asia","183200.00",2014,17100000,"10M-100M","9710962528"
"TheBrianMaps","Comedy","Comedy","Russia","Europe","148700.00",2012,17100000,"10M-100M","4448334716"
"Queen Official","Music","Music","United Kingdom","Europe","375100.00",2008,17000000,"10M-100M","10847948832"
"Gaby and Alex","Entertainment","Entertainment","Nothing","Other","0.00",2008,17000000,"10M-100M","8229883114"
