"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"ABP NEWS","People & Blogs","India","People & Blogs","India","Asia","37000000","13102611515","1100000.00","5252474606",2012
"Rotten Tomatoes Trailers","Film & Animation","United States","Film & Animation","United States","North America","15800000","13116313599","103000.00","5251296340",2011
"rezendeevil","Gaming","Brazil","Gaming","Brazil","South America","32100000","13061739758","178000.00","5234379303",2012
"AMARINTV : ������������","Entertainment","Thailand","Entertainment","Thailand","Asia","17400000","13043561912","944000.00","5222927965",2014
"Selena Gomez","Film & Animation","United States","Film & Animation","United States","North America","33600000","13013567335","463200.00","5215645894",2008
"ABC News","News & Politics","United States","Other","United States","North America","14700000","12961669452","742800.00","5189300621",2006
"Daniel LaBelle","Comedy","Nothing","Comedy","Nothing","Other","24100000","12916159065","1600000.00","5174173626",2009
"Alan Walker","Music","Thailand","Music","Thailand","Asia","43700000","12884264778","0.09","5166815911",2006
"Dangal TV Channel","Entertainment","India","Entertainment","India","Asia","21300000","12895427184","2200000.00","5165220874",2017
"Wave Music Bhojpuri","Music","India","Music","India","Asia","23100000","12889240875","210700.00","5162689560",2014
"Mr DegrEE","Science & Technology","United States","Other","United States","North America","15500000","12880388253","0.00","5156805301",2016
"GMMTV OFFICIAL��","Entertainment","Thailand","Entertainment","Thailand","Asia","16400000","12844432341","725500.00","5142910586",2010
"Shawn Mendes","Music","Canada","Music","Canada","North America","30000000","12831200855","355000.00","5141586842",2011
"Ishaan Ali 11","People & Blogs","India","People & Blogs","India","Asia","21300000","12761253839","2900000.00","5111761536",2016
"Geet MP3","Music","India","Music","India","Asia","34300000","12746535822","405400.00","5109025949",2016
"Gulshan Kalra","Howto & Style","Nothing","Other","Nothing","Other","27100000","12732444881","2000000.00","5101707952",2018
"Kashvi Adlakha","Entertainment","India","Entertainment","India","Asia","15500000","12714141740","556500.00","5090473646",2017
"NBA","Sports","United States","Other","United States","North America","20700000","12624879732","292100.00","5056249523",2005
"DisneyChannelUK","Music","United Kingdom","Music","United Kingdom","Europe","12400000","12607488647","139000.00","5046757159",2007
"Zee Telugu","Entertainment","India","Entertainment","India","Asia","14000000","12597067132","0.03","5043026853",2007
"Atlantic Records","Music","United States","Music","United States","North America","13900000","12513842343","389100.00","5009823667",2006
"Pitbull","Music","United States","Music","United States","North America","16300000","12475714382","352000.00","4995281353",2006
"AdeleVEVO","Music","United Kingdom","Music","United Kingdom","Europe","15100000","12413869881","339000.00","4970179652",2009
"Like Nastya AE","Entertainment","United States","Entertainment","United States","North America","24400000","12385924995","679500.00","4961893848",2018
"Diana and Roma ESP","nan","United States","Other","United States","North America","30700000","12355992466","412000.00","4951730586",2016
"Colors Rishtey","Entertainment","India","Entertainment","India","Asia","14700000","12362331529","1400000.00","4949762612",2013
"CKN","Entertainment","Spain","Entertainment","Spain","Europe","18700000","12295637162","0.41","4923864865",2005
"SOMOY TV","News & Politics","United States","Other","United States","North America","19800000","12293479945","65.00","4923331998",2013
"Ajay Sharma","Entertainment","Nothing","Entertainment","Nothing","Other","18100000","12249828886","0.00","4905361554",2009
"OneDirectionVEVO","Music","United Kingdom","Music","United Kingdom","Europe","21800000","12140232004","204500.00","4862694152",2010
"Jamuna TV","News & Politics","Bangladesh","Other","Bangladesh","Other","13900000","12129583055","0.00","4856003222",2021
"Lahari Music - TSeries","Music","India","Music","India","Asia","16600000","11946217860","356000.00","4783573944",2011
"KOMPASTV","News & Politics","Indonesia","Other","Indonesia","Asia","15000000","11827310821","452300.00","4735560018",2013
"BabyBus - Cerita & Lagu Anak-anak","Education","Indonesia","Education","Indonesia","Asia","20300000","11819051552","451100.00","4733845951",2019
"Codiscos","Music","Colombia","Music","Colombia","South America","13400000","11789678655","915600.00","4720166142",2007
"Woody & Kleiny","Comedy","United Kingdom","Comedy","United Kingdom","Europe","13500000","11717217293","2000000.00","4691536917",2013
"Flowers Comedy","Entertainment","India","Entertainment","India","Asia","12500000","11691081301","720100.00","4680398550",2015
"Enaldinho","Comedy","Brazil","Comedy","Brazil","South America","29200000","11627437847","1200000.00","4660095139",2012
"Lucas and Marcus","Entertainment","United States","Entertainment","United States","North America","31600000","11615848291","1200000.00","4656179316",2011
"Like Nastya PRT","Entertainment","Nothing","Entertainment","Nothing","Other","22700000","11568118121","386500.00","4634173198",2019
"Zee Tamil","Entertainment","India","Entertainment","India","Asia","12500000","11552190002","1400000.00","4625046001",2008
"RsiamMusic : ��������","Music","Thailand","Music","Thailand","Asia","18400000","11544297793","216500.00","4623304067",2011
"FFUNTV","Gaming","United Arab Emirates","Gaming","United Arab Emirates","Other","15400000","11513738907","320700.00","4610211773",2018
"Z�������","Music","Brazil","Music","Brazil","South America","15000000","11506702632","731500.00","4607400503",2012
"Rauw Alejandro","Music","Nothing","Music","Nothing","Other","12900000","11504090820","822200.00","4605752988",2014
"El Reino a Jugar","Education","Argentina","Education","Argentina","South America","17200000","11445492404","334800.00","4583457402",2015
"Zee Bangla","Entertainment","India","Entertainment","India","Asia","14200000","11428794827","239700.00","4575849841",2008
"SelenaGomezVEVO","Music","United States","Music","United States","North America","14400000","11423792969","354600.00","4573943568",2009
"KHANDESHI MOVIES","Comedy","India","Comedy","India","Asia","33500000","11405809704","98900.00","4572403552",2013
"Indosiar","Music","Indonesia","Music","Indonesia","Asia","25900000","11372071889","920700.00","4556874966",2013
"Taarak Mehta Ka Ooltah Chashmah","Entertainment","India","Entertainment","India","Asia","17300000","11371738047","1300000.00","4554275219",2014
"GMA Public  Affairs","Entertainment","Philippines","Entertainment","Philippines","Asia","21200000","11364908616","569300.00","4552494236",2009
"Jingle Toons","Film & Animation","India","Film & Animation","India","Asia","34000000","11351015824","719600.00","4550822210",2013
"Britain's Got Talent","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","19700000","11323617496","216800.00","4535422038",2008
"Pencilmation","Film & Animation","United States","Film & Animation","United States","North America","20100000","11317309935","59400.00","4532971794",2007
"Dua Lipa","Music","United Kingdom","Music","United Kingdom","Europe","21800000","11288359365","512200.00","4522037406",2011
"Dhar Mann","People & Blogs","Nothing","People & Blogs","Nothing","Other","18400000","11280732382","0.00","4517812953",2007
"O Reino Infantil","Music","Brazil","Music","Brazil","South America","14600000","11182302317","439500.00","4477432777",2014
"���������������� - Al-Remas","Music","Iraq","Music","Iraq","Other","17400000","11144195464","452000.00","4463033786",2013
"Kinder Spielzeug Kanal (Kidibli)","Entertainment","United States","Entertainment","United States","North America","22200000","11136266461","557300.00","4461333774",2015
"WB Kids","People & Blogs","United States","People & Blogs","United States","North America","25200000","11081602368","561300.00","4440369337",2015
"LIV Crime","People & Blogs","United States","People & Blogs","United States","North America","20900000","11058049885","1500000.00","4429939954",2020
"Priyal Kukreja","People & Blogs","India","People & Blogs","India","Asia","17800000","11057945183","1700000.00","4429028073",2021
"Diana and Roma ARA","nan","United States","Other","United States","North America","24100000","11041261296","267500.00","4423814768",2019
"Think Music India","Music","India","Music","India","Asia","13800000","11039343563","868400.00","4420137945",2009
"��������������� - Genevieve's Playhouse","Education","Nothing","Education","Nothing","Other","20300000","11022391339","287100.00","4415132666",2018
"Ninja Kidz TV","Entertainment","United States","Entertainment","United States","North America","20500000","11009148579","780800.00","4410043672",2017
"Alejo Igoa","Comedy","Argentina","Comedy","Argentina","South America","24100000","10999000479","1600000.00","4407310192",2014
"Official Pink Panther","Film & Animation","United States","Film & Animation","United States","North America","19700000","10955619815","0.00","4388157926",2011
"White Hill Music","Entertainment","India","Entertainment","India","Asia","23000000","10939966484","372700.00","4382998404",2014
"Queen Official","Music","United Kingdom","Music","United Kingdom","Europe","17000000","10847948832","375100.00","4344392063",2008
"BRIGHT SIDE","Howto & Style","Nothing","Other","Nothing","Other","44500000","10708531817","0.00","4296762727",2005
"Dave and Ava - Nursery Rhymes and Baby Songs","Education","United States","Education","United States","North America","15300000","10714145606","308200.00","4290340702",2014
"officialpsy","Music","South Korea","Music","South Korea","Asia","18100000","10703830496","260000.00","4287040198",2010
"Becky G","Music","United States","Music","United States","North America","21300000","10644857969","412700.00","4264456998",2011
"Lyrical Lemonade","Entertainment","United States","Entertainment","United States","North America","21000000","10631638628","320200.00","4259051511",2013
"Vlad and Niki Arabic","nan","United States","Other","United States","North America","22500000","10613701948","260300.00","4252308869",2018
"Mr Bean","Shows","United Kingdom","Other","United Kingdom","Europe","32100000","10602236110","226100.00","4250592274",2006
"NoCopyrightSounds","Music","United Kingdom","Music","United Kingdom","Europe","33400000","10530729078","222600.00","4222378411",2011
"XXXTENTACION","Music","United States","Music","United States","North America","39200000","10507474316","233400.00","4214819746",2015
"ABS-CBN News","News & Politics","Philippines","Other","Philippines","Asia","15100000","10489367372","726600.00","4200494929",2009
"Sebasti���","News & Politics","United States","Other","United States","North America","18000000","10463166404","443100.00","4190799492",2013
"Smosh","Comedy","United States","Comedy","United States","North America","26100000","10435474336","272600.00","4182101514",2005
"Troom Troom","Howto & Style","United States","Other","United States","North America","23800000","10414479943","392200.00","4173049637",2015
"The Lallantop","News & Politics","India","Other","India","Asia","25200000","10409352249","1100000.00","4171630900",2015
"Salman Noman","Entertainment","Nothing","Entertainment","Nothing","Other","16700000","10393037902","0.03","4162225161",2022
"Family Fitness","Entertainment","India","Entertainment","India","Asia","12500000","10384848759","942900.00","4157972374",2017
"Robin Hood Gamer","Entertainment","Nothing","Entertainment","Nothing","Other","20100000","10366850490","0.00","4152770196",2013
"Fernanfloo","Gaming","El Salvador","Gaming","El Salvador","Other","46100000","10323391593","135400.00","4143227257",2011
"��� Kids Roma Show","People & Blogs","United States","People & Blogs","United States","North America","27400000","10336420490","703400.00","4142999216",2015
"enchufetv","Comedy","Colombia","Comedy","Colombia","South America","26700000","10317306313","97500.00","4134961775",2011
"TV9 Bharatvarsh","People & Blogs","India","People & Blogs","India","Asia","14500000","10303519926","1700000.00","4126267970",2018
"Avicii","Music","Sweden","Music","Sweden","Europe","20600000","10292874715","324900.00","4123427356",2009
"Nicki Minaj","Music","United States","Music","United States","North America","25700000","10242981063","414500.00","4105026775",2013
"Ray William Johnson","Entertainment","United States","Entertainment","United States","North America","15000000","10239836582","1300000.00","4100824633",2008
"SEVENGERS","Comedy","India","Comedy","India","Asia","14200000","10238593147","1500000.00","4100147259",2018
"Jennifer Lopez","Music","United States","Music","United States","North America","16200000","10227242833","253800.00","4095833273",2005
"Desi Music Factory","Music","Nothing","Music","Nothing","Other","33700000","10189027455","0.00","4085720982",2018
"SAM SMITH","Music","United Kingdom","Music","United Kingdom","Europe","16300000","10170264839","343100.00","4073098866",2012
"Vania Mania Kids","People & Blogs","United States","People & Blogs","United States","North America","22700000","10115316784","620900.00","4053122984",2015
"Aditya Movies","Movies","India","Other","India","Asia","28400000","10062770060","909400.00","4033900844",2012
"50 Cent","Music","United States","Music","United States","North America","14900000","10069000444","479200.00","4032213938",2007
"Azhan5star","Entertainment","India","Entertainment","India","Asia","21300000","10047736580","945200.00","4025768192",2021
"Peet Montzingo","People & Blogs","United States","People & Blogs","United States","North America","13400000","10022557589","1600000.00","4013523036",2014
"JesseAndMike","Entertainment","United States","Entertainment","United States","North America","13000000","9999238237","164400.00","4003644615",2007
"BigSchool","Gaming","Nothing","Gaming","Nothing","Other","15000000","9996133066","0.00","4002953226",2020
"SQUEEZIE","Gaming","France","Gaming","France","Europe","18100000","9983065083","192400.00","3998713753",2011
"Sony Music South","Music","India","Music","India","Asia","15000000","9978734160","968700.00","3996284274",2014
"The Late Late Show with James Corden","Entertainment","United States","Entertainment","United States","North America","28400000","9956764048","105700.00","3991257329",2006
"The Dodo","Pets & Animals","Nothing","Other","Nothing","Other","14200000","9964116817","29.00","3989906736",2006
"DopeLyrics","Music","United States","Music","United States","North America","15900000","9962188084","39700.00","3989657144",2016
"Bobby chourasiya","People & Blogs","Nothing","People & Blogs","Nothing","Other","18200000","9937823152","1900000.00","3981159261",2019
"ILYA BORZOV","People & Blogs","Russia","People & Blogs","Russia","Europe","15300000","9938811455","1900000.00","3980684582",2021
"Charlie Puth","Music","United States","Music","United States","North America","22000000","9924807127","446000.00","3976656651",2009
"Future","Music","United States","Music","United States","North America","12700000","9927699419","1900.00","3974890338",2020
"Chetan Monga Vlogs","People & Blogs","India","People & Blogs","India","Asia","15000000","9924103188","454300.00","3974277565",2014
"BillionSurpriseToys  - Nursery Rhymes & Cartoons","Education","United States","Education","United States","North America","52200000","9877365274","1100000.00","3966936110",2013
"Jason Derulo","Music","United States","Music","United States","North America","17900000","9887116267","1800000.00","3960756507",2008
"HUBA��","Entertainment","United States","Entertainment","United States","North America","13200000","9884886099","1300000.00","3958304440",2021
"Like Nastya VNM","Entertainment","Vietnam","Entertainment","Vietnam","Asia","17900000","9867515979","337900.00","3952477762",2019
"Little Angel Espa���������","Education","Mexico","Education","Mexico","North America","18900000","9813245108","561600.00","3931136523",2018
"SCTV","Entertainment","United Kingdom","Entertainment","United Kingdom","Europe","19700000","9808676159","1.00","3929380464",2006
"Vlad and Niki IDN","nan","United States","Other","United States","North America","21000000","9789121606","533400.00","3922108662",2018
"Volga Video","Film & Animation","India","Film & Animation","India","Asia","15700000","9787697838","205300.00","3919850725",2012
"Enes Batur","Gaming","Nothing","Gaming","Nothing","Other","16000000","9786595271","0.00","3919438108",2007
"POPS Kids","Music","Vietnam","Music","Vietnam","Asia","16200000","9763592867","1000000.00","3910597147",2014
"Green Gold TV - Official Channel","Film & Animation","India","Film & Animation","India","Asia","20000000","9715291883","0.00","3892116753",2011
"TRANS TV Official","Entertainment","Indonesia","Entertainment","Indonesia","Asia","17100000","9710962528","183200.00","3889569971",2014
"Techno Gamerz","Gaming","Nothing","Gaming","Nothing","Other","34400000","9690499664","0.34","3886519866",2010
"YOLO AVENTURAS","People & Blogs","Venezuela","People & Blogs","Venezuela","Other","31200000","9673649438","14.00","3878819779",2018
"BBC","Pets & Animals","United Kingdom","Other","United Kingdom","Europe","13600000","9685060624","177700.00","3878157560",2005
"Gallina Pintadita","Music","Mexico","Music","Mexico","North America","14000000","9660950823","282500.00","3868665079",2011
"La Rosa de Guadalupe","Entertainment","Mexico","Entertainment","Mexico","North America","16100000","9642146451","0.00","3861688580",2008
"Las Ratitas","People & Blogs","Nothing","People & Blogs","Nothing","Other","25200000","9602246828","0.04","3848458731",2019
"How Ridiculous","Sports","Australia","Other","Australia","Oceania","18000000","9601137077","1600000.00","3846334831",2009
"DUDU e CAROL","Autos & Vehicles","Brazil","Other","Brazil","South America","21600000","9597894786","772700.00","3845869724",2013
"����������������������","Entertainment","Ukraine","Entertainment","Ukraine","Other","18800000","9594188708","272000.00","3843397083",2014
"The Vishal bhatt","Comedy","India","Comedy","India","Asia","13700000","9596430464","1500000.00","3843132186",2021
"Farruko","Music","United States","Music","United States","North America","18800000","9573641299","391000.00","3835213820",2009
"GMA Integrated News","News & Politics","Philippines","Other","Philippines","Asia","13400000","9569814790","461800.00","3832084456",2007
"Danny Fitt","People & Blogs","United States","People & Blogs","United States","North America","16900000","9544277833","1100000.00","3823111133",2016
"Adam W","Comedy","United States","Comedy","United States","North America","12800000","9502983550","915800.00","3805308160",2015
"Rub������","Comedy","Argentina","Comedy","Argentina","South America","15100000","9477021288","2000000.00","3795938515",2016
"Tilak","Film & Animation","India","Film & Animation","India","Asia","23400000","9465863821","1500000.00","3793815528",2020
"Ch7HD","Entertainment","Thailand","Entertainment","Thailand","Asia","16400000","9463244435","351000.00","3790323074",2010
"SriBalajiMovies","Entertainment","India","Entertainment","India","Asia","16600000","9439857193","616200.00","3781107737",2011
"Sourav Joshi Vlogs","People & Blogs","Nothing","People & Blogs","Nothing","Other","21700000","9392093496","1100000.00","3763677398",2019
"GMM25Thailand","Entertainment","Thailand","Entertainment","Thailand","Asia","14500000","9383692066","182500.00","3757881576",2011
"Major Lazer Official","Music","Nothing","Music","Nothing","Other","14800000","9383431376","0.00","3757812550",2013
"������TwinsFromRussia","People & Blogs","United States","People & Blogs","United States","North America","13200000","9378175604","477600.00","3755373522",2011
"Eva Bravo Play","Entertainment","United States","Entertainment","United States","North America","21600000","9346383505","255700.00","3745110112",2019
"unknown boy varun","Music","India","Music","India","Asia","23100000","9299371231","1200000.00","3727038492",2016
"Aayu and Pihu Show","Comedy","India","Comedy","India","Asia","16900000","9270331567","359100.00","3713310357",2017
"zbing z.","Gaming","Thailand","Gaming","Thailand","Asia","17600000","9269174070","220500.00","3713015778",2014
"Heroindori","Comedy","India","Comedy","India","Asia","22600000","9223534599","1600000.00","3696673840",2020
"Hear This Music","Music","Nothing","Music","Nothing","Other","14500000","9201428420","192800.00","3684979208",2016
"MK MUSIC","Music","Brazil","Music","Brazil","South America","15900000","9198986881","545600.00","3684528432",2010
"Guava Juice","Gaming","United States","Gaming","United States","North America","16900000","9111000228","43600.00","3649483171",2006
"Ian Boggs","Entertainment","Nothing","Entertainment","Nothing","Other","13100000","9110348202","1300000.00","3648459281",2010
"karameeshchannel","Entertainment","Jordan","Entertainment","Jordan","Other","13900000","9106781518","350600.00","3646987787",2012
"Kids Line�������","People & Blogs","United States","People & Blogs","United States","North America","13300000","9088562002","647600.00","3639609081",2011
"Jorge & Mateus Oficial","Music","Brazil","Music","Brazil","South America","14800000","9076642765","352500.00","3635202856",2008
"Les' Copaque Production","Film & Animation","Malaysia","Film & Animation","Malaysia","Other","17700000","9059696049","470900.00","3629329690",2009
"Unspeakable","Gaming","United States","Gaming","United States","North America","15900000","9052367553","659600.00","3625914901",2016
"Natan por A�","Sports","Brazil","Other","Brazil","South America","12300000","9029609749","2200000.00","3616193900",2017
"Zig & Sharko","Film & Animation","Nothing","Film & Animation","Nothing","Other","14400000","9023952946","250800.00","3613976418",2015
"Blippi Espa��","People & Blogs","Mexico","People & Blogs","Mexico","North America","15500000","8984089026","360000.00","3598393610",2017
"A2 Motivation by Arvind Arora","Entertainment","India","Entertainment","India","Asia","15000000","8932038210","522900.00","3577472154",2017
"AuthenticGames","Gaming","Brazil","Gaming","Brazil","South America","20100000","8920141342","21700.00","3574093047",2011
"Jason Vlogs","Education","Australia","Education","Australia","Oceania","17200000","8903647480","0.10","3566618992",2014
"Little Angel - M����������","Entertainment","Brazil","Entertainment","Brazil","South America","15000000","8897705695","581900.00","3563756848",2018
"Netflix Jr.","Education","United States","Education","United States","North America","14700000","8882319696","317600.00","3557433158",2012
"5-Minute Crafts Recycle","People & Blogs","United States","People & Blogs","United States","North America","14800000","8866012877","212700.00","3550908961",2019
"NickiMinajAtVEVO","Music","United States","Music","United States","North America","12600000","8831179714","140100.00","3536293916",2010
"With Kids[�����","Entertainment","United States","Entertainment","United States","North America","16700000","8826138204","182800.00","3535520122",2012
"tabii Urdu","Entertainment","Turkey","Entertainment","Turkey","Other","19600000","8779729549","443200.00","3517904780",2020
"LazarBeam","Gaming","Australia","Gaming","Australia","Oceania","20500000","8768697257","104300.00","3513660193",2015
"�������� ���������� ���������� | Arab Games Network","Gaming","Saudi Arabia","Gaming","Saudi Arabia","Other","18600000","8761255550","172000.00","3510133820",2013
"GH'S","Gaming","South Korea","Gaming","South Korea","Asia","13000000","8739174649","4300000.00","3500859860",2020
"BeatboxJCOP","Film & Animation","Nothing","Film & Animation","Nothing","Other","18000000","8716982055","5500000.00","3493842822",2011
"Prime Video India","Entertainment","United States","Entertainment","United States","North America","15700000","8696631898","1300000.00","3483752759",2016
"Luisito Comunica","Comedy","Mexico","Comedy","Mexico","North America","40600000","8670473639","0.00","3480369456",2010
"Pop Chartbusters","Music","India","Music","India","Asia","16900000","8684010451","291600.00","3478761660",2011
"Smile Family","People & Blogs","France","People & Blogs","France","Europe","22300000","8663830163","3.00","3472222066",2019
"tuzelity SHUFFLE","People & Blogs","Russia","People & Blogs","Russia","Europe","20700000","8658941531","2200000.00","3470446612",2015
"THE BROWN SIBLINGS","Entertainment","India","Entertainment","India","Asia","15000000","8658553456","409400.00","3468044202",2016
"Meghan Trainor","People & Blogs","United States","People & Blogs","United States","North America","14800000","8649303688","206600.00","3464223455",2008
"Luli Pamp�","Music","Spain","Music","Spain","Europe","14000000","8623705301","806600.00","3453924100",2012
"Bayashi TV","Entertainment","Japan","Entertainment","Japan","Asia","14900000","8615618825","10.00","3450717533",2012
"Goldmines Dishoom","Film & Animation","Nothing","Film & Animation","Nothing","Other","28000000","8603468420","516800.00","3449942408",2016
"Goldmines Bollywood","Film & Animation","India","Film & Animation","India","Asia","26400000","8595760553","398700.00","3446343831",2015
"Vlad and Niki ESP","nan","United States","Other","United States","North America","22000000","8594440895","735500.00","3444597008",2018
"MSA previously My Story Animated","Film & Animation","United States","Film & Animation","United States","North America","17800000","8588704539","83.00","3440821841",2021
"Telemundo","Entertainment","United States","Entertainment","United States","North America","14500000","8582696157","193100.00","3437486393",2007
"ZAMZAM ELECTRONICS TRADING","nan","United Arab Emirates","Other","United Arab Emirates","Other","21700000","8507818877","6400000.00","3411557551",2020
"�������� �� ������������","nan","United States","Other","United States","North America","13900000","8451754769","457000.00","3385009008",2018
"DJ Snake","Music","United States","Music","United States","North America","24100000","8425505919","253200.00","3377508328",2008
"invictor","Gaming","Chile","Gaming","Chile","South America","21500000","8409641722","0.20","3370306689",2016
"News 24","News & Politics","Ukraine","Other","Ukraine","Other","17700000","8396875537","1500000.00","3364510215",2006
"Oyuncak Av�","Entertainment","Turkey","Entertainment","Turkey","Other","15200000","8333387785","17700.00","3337920424",2014
"Masha e o Urso","Shows","Nothing","Other","Nothing","Other","18900000","8301731337","0.00","3326362535",2014
"Preston","Gaming","United States","Gaming","United States","North America","24000000","8279004442","606800.00","3318983817",2012
"Wow Kidz Action","Film & Animation","India","Film & Animation","India","Asia","19000000","8281724393","422800.00","3318516597",2017
"�������� �� ��������","Shows","Saudi Arabia","Other","Saudi Arabia","Other","15500000","8265129639","540100.00","3310863886",2017
"Lady Diana","Entertainment","Ukraine","Entertainment","Ukraine","Other","13500000","8265920659","300600.00","3310508444",2016
"Gaby and Alex","Entertainment","Nothing","Entertainment","Nothing","Other","17000000","8229883114","0.00","3297053246",2008
"Like Nastya Vlog","People & Blogs","Russia","People & Blogs","Russia","Europe","18500000","8147575884","195800.00","3264639094",2016
"Wesley Safad�","Music","Brazil","Music","Brazil","South America","13700000","8134379376","256200.00","3257938610",2009
"Kids Play","Entertainment","United States","Entertainment","United States","North America","16200000","8091706232","103600.00","3241573573",2018
"MNCTV OFFICIAL","Entertainment","Indonesia","Entertainment","Indonesia","Asia","14900000","8074260978","174300.00","3234226681",2012
"Paulo Londra","Music","Argentina","Music","Argentina","South America","22400000","8040036209","289000.00","3222821184",2016
"RS 1313 SHORTS","Entertainment","India","Entertainment","India","Asia","14400000","8011977288","850600.00","3209366095",2020
"Travis Scott","Music","United States","Music","United States","North America","16700000","7979736581","150.00","3196904677",2010
"ABPLIVE","People & Blogs","Nothing","People & Blogs","Nothing","Other","25200000","7968363381","0.01","3194905352",2014
"Akshay Nagwadiya","Entertainment","Nothing","Entertainment","Nothing","Other","23200000","7966720147","1300000.00","3194038059",2017
"Fede Vigevani","Howto & Style","Nothing","Other","Nothing","Other","25600000","7962725960","0.00","3192770384",2019
"Vijay Kumar Viner Vlogs","Entertainment","India","Entertainment","India","Asia","13500000","7958771872","439300.00","3187690539",2019
"Fifth Harmony","Music","United States","Music","United States","North America","14600000","7952268926","150500.00","3185332720",2013
"Renato Garcia YT","Entertainment","Brazil","Entertainment","Brazil","South America","26900000","7938616641","331600.00","3183616136",2011
"Crazy Frog","Music","Nothing","Music","Nothing","Other","14200000","7946322061","0.00","3182788824",2005
"Valentina Pontes ofc","Film & Animation","Brazil","Film & Animation","Brazil","South America","23400000","7926899136","113100.00","3177813584",2014
"Peppa Pig Espa���������","Film & Animation","United Kingdom","Film & Animation","United Kingdom","Europe","23600000","7920637200","214400.00","3175399200",2014
"VexTrex","Entertainment","Ukraine","Entertainment","Ukraine","Other","13300000","7923901253","0.00","3173550501",2014
"DaFuq!?Boom!","Film & Animation","United States","Film & Animation","United States","North America","19600000","7906181776","9200000.00","3171112710",2016
"jaanvi patel","People & Blogs","India","People & Blogs","India","Asia","17700000","7912733203","1400000.00","3170823281",2018
"1MILLION Dance Studio","Entertainment","Saudi Arabia","Entertainment","Saudi Arabia","Other","26100000","7886440199","0.00","3162406080",2019
"Right to Shiksha","Education","India","Education","India","Asia","12800000","7876740921","855000.00","3154792868",2020
"BIGBANG","Music","South Korea","Music","South Korea","Asia","15100000","7857371770","163200.00","3147527668",2005
"Voc���","Entertainment","Brazil","Entertainment","Brazil","South America","44700000","7828610828","192100.00","3144911961",2013
"Netflix India","People & Blogs","Nothing","People & Blogs","Nothing","Other","21800000","7780934187","0.00","3118913675",2017
"Infobells Bangla","Education","India","Education","India","Asia","15500000","7776706184","671600.00","3115533954",2016
"penguinz0","Gaming","United States","Gaming","United States","North America","13300000","7773543609","755800.00","3113634184",2007
"Rafa & Luiz","Entertainment","Brazil","Entertainment","Brazil","South America","21000000","7762905663","473600.00","3111604345",2015
"Busy Fun Ltd","nan","Nothing","Other","Nothing","Other","18800000","7762077012","0.00","3110470805",2021
"Miley Cyrus","Entertainment","United States","Entertainment","United States","North America","18300000","7760819588","511900.00","3109971405",2009
"Porta dos Fundos","Entertainment","Brazil","Entertainment","Brazil","South America","17700000","7739048000","141300.00","3100971590",2012
"Pari's Lifestyle","People & Blogs","India","People & Blogs","India","Asia","12400000","7741764747","152700.00","3100471709",2018
"������������","Gaming","Russia","Gaming","Russia","Europe","14000000","7719743112","602300.00","3092277935",2013
"Crazy XYZ","Entertainment","India","Entertainment","India","Asia","27300000","7705492350","408900.00","3090509610",2017
"Zee Kids","Film & Animation","India","Film & Animation","India","Asia","12400000","7683670251","380700.00","3077302310",2012
"Bizarrap","Comedy","Argentina","Comedy","Argentina","South America","20600000","7657171980","772700.00","3069280602",2017
"Cardi B","People & Blogs","Nothing","People & Blogs","Nothing","Other","18800000","7634430188","0.03","3059412075",2017
"Fun For Kids TV - Hindi Rhymes","Entertainment","India","Entertainment","India","Asia","17500000","7612385622","439400.00","3050336069",2017
"Shemaroo Movies","Entertainment","India","Entertainment","India","Asia","28200000","7600740993","739900.00","3048978367",2011
"_vector_","Comedy","United States","Comedy","United States","North America","12400000","7597013023","3600000.00","3043605209",2019
"Sonotek","Entertainment","India","Entertainment","India","Asia","19200000","7590582024","114700.00","3042027220",2011
"T-Series Hamaar Bhojpuri","Entertainment","India","Entertainment","India","Asia","15200000","7564652648","423900.00","3030548229",2011
"Republic Bharat","News & Politics","India","Other","India","Asia","15000000","7536093065","4.00","3018937227",2018
"Little Mix","Music","United Kingdom","Music","United Kingdom","Europe","16300000","7520242626","154400.00","3013033370",2011
"AlArabiya �����","People & Blogs","United Arab Emirates","People & Blogs","United Arab Emirates","Other","12900000","7520379951","320900.00","3012118250",2006
"elcarteldesantatv","Music","Mexico","Music","Mexico","North America","12500000","7489455451","463500.00","2999671230",2008
"LosPolinesios","People & Blogs","Mexico","People & Blogs","Mexico","North America","25700000","7466926260","122000.00","2994517104",2012
"FaZe Rug","Gaming","Canada","Gaming","Canada","North America","23700000","7451792132","0.00","2987826853",2012
"Troom Troom Es","People & Blogs","Nothing","People & Blogs","Nothing","Other","19700000","7452667615","117500.00","2987012296",2016
"Dental Digest","People & Blogs","Nothing","People & Blogs","Nothing","Other","13900000","7450345720","926200.00","2984586148",2020
"NMF News","News & Politics","India","Other","India","Asia","16600000","7435180827","236800.00","2979123371",2013
"elrubiusOMG","Gaming","Nothing","Gaming","Nothing","Other","40400000","7410536668","23100.00","2976341597",2011
"FunFun Toy Doll TV","Entertainment","United States","Entertainment","United States","North America","16500000","7406207930","97500.00","2967462422",2016
"Just For Laughs Gags","Comedy","United States","Comedy","United States","North America","13300000","7406628736","69900.00","2966662464",2007
